Year,Month,Week_of_Year,Total_Sales,Avg_Weekly_Sales,Store_Count
2011,8,32,46249569.21,1027768.2046666667,45
2011,8,33,46917347.62,1042607.7248888889,45
2011,8,34,47416948.45,1053709.9655555557,45
2011,9,35,45376623.269999996,1008369.406,45
2011,9,36,46763227.53,1039182.834,45
2011,9,37,43793960.08,973199.1128888888,45
2011,9,38,42718096.73,949291.0384444444,45
2011,9,39,42195830.81,937685.1291111112,45
2011,10,40,47211688.36,1049148.6302222223,45
2011,10,41,44374820.3,986107.1177777777,45
2011,10,42,45818953.44,1018198.9653333332,45
2011,10,43,45855821.05,1019018.2455555554,45
2011,11,44,48655544.3,1081234.3177777778,45
2011,11,45,48474224.75,1077204.9944444445,45
2011,11,46,46438980.56,1031977.3457777778,45
2011,11,47,66593605.26,1479857.8946666666,45
2011,12,48,49390556.49,1097567.922,45
2011,12,49,55561147.7,1234692.171111111,45
2011,12,50,60085695.94,1335237.6875555555,45
2011,12,51,76998241.31,1711072.029111111,45
2011,12,52,46042461.04,1023165.8008888889,45
2012,1,1,44955421.95,999009.3766666667,45
2012,1,2,42023078.48,933846.1884444443,45
2012,1,3,42080996.56,935133.2568888889,45
2012,1,4,39834974.67,885221.6593333334,45
2012,2,5,46085608.09,1024124.6242222222,45
2012,2,6,50009407.92,1111320.176,45
2012,2,7,50197056.96,1115490.1546666666,45
2012,2,8,45771506.57,1017144.5904444444,45
2012,3,9,46861034.97,1041356.3326666666,45
2012,3,10,47480454.11,1055121.2024444444,45
2012,3,11,46901504.94,1042255.6653333333,45
2012,3,12,44993794.45,999862.098888889,45
2012,3,13,45272862.02,1006063.6004444446,45
2012,4,14,53502315.87,1188940.3526666665,45
2012,4,15,46629261.41,1036205.809111111,45
2012,4,16,45072529.78,1001611.772888889,45
2012,4,17,43716798.89,971484.4197777777,45
2012,5,18,47124197.93,1047204.3984444444,45
2012,5,19,46925878.99,1042797.3108888889,45
2012,5,20,46823939.22,1040531.9826666666,45
2012,5,21,47892463.31,1064276.9624444444,45
2012,6,22,48281649.72,1072925.5493333333,45
2012,6,23,49651171.78,1103359.372888889,45
2012,6,24,48412110.7,1075824.6822222222,45
2012,6,25,47668284.97,1059295.2215555555,45
2012,6,26,46597112.12,1035491.3804444444,45
2012,7,27,51253021.879999995,1138956.0417777777,45
2012,7,28,46099732.1,1024438.4911111111,45
2012,7,29,46059543.45,1023545.41,45
2012,7,30,44097154.97,979936.7771111111,45
2012,8,31,47485899.56,1055242.2124444444,45
2012,8,32,47403451.04,1053410.023111111,45
2012,8,33,47354452.05,1052321.1566666665,45
2012,8,34,47447323.6,1054384.9688888888,45
2012,8,35,47159639.43,1047991.9873333334,45
2012,9,36,48330059.31,1074001.318,45
2012,9,37,44226038.65,982800.8588888888,45
2012,9,38,44354547.11,985656.6024444444,45
2012,9,39,43734899.4,971886.6533333333,45
2012,10,40,47566639.31,1057036.4291111112,45
2012,10,41,46128514.25,1025078.0944444444,45
2012,10,42,45122410.57,1002720.2348888889,45
2012,10,43,45544116.29,1012091.4731111111,45
