Store,Sum_Sales_2010_No,Sum_Sales_2010_Yes,Sum_Sales_2011_No,Sum_Sales_2011_Yes,Sum_Sales_2012_No,Sum_Sales_2012_Yes,Mean_Sales_2010_No,Mean_Sales_2010_Yes,Mean_Sales_2011_No,Mean_Sales_2011_Yes,Mean_Sales_2012_No,Mean_Sales_2012_Yes
35,47707270.61,4488700.32,39666806.87,4420171.76,33403110.03,1834612.49,1084256.1502272727,1122175.08,826391.8097916666,1105042.94,814710.0007317073,917306.245
36,19480888.47,1672237.22,17597920.14,1374698.6099999999,12657000.06,629470.47,442747.4652272727,418059.305,366623.33625,343674.65249999997,308707.3185365854,314735.235
37,22489768.67,2018701.19,25078826.06,2002669.71,21558895.09,1053879.6,511131.1061363637,504675.2975,522475.54291666666,500667.4275,525826.7095121951,526939.8
38,15244585.14,1343209.38,18428931.25,1511827.2,17671011.25,960062.2,346467.8440909091,335802.345,383936.0677083333,377956.8,431000.2743902439,480031.1
39,59857013.42,5925262.9,69244391.59,6533211.71,62832862.660000004,3052800.19,1360386.6686363637,1481315.725,1442591.4914583333,1633302.9275,1532508.8453658537,1526400.095
4,87042004.42,8638466.39,101799498.84,9292794.49,88271423.88,4499765.36,1978227.3731818183,2159616.5975,2120822.8925,2323198.6225,2152961.5580487805,2249882.68
40,42457249.26,3900110.26,46248346.32,4092196.61,39084373.46,2088033.88,964937.4831818182,975027.565,963507.215,1023049.1525,953277.4014634147,1044016.94
41,52621420.31,5116800.34,61114184.47,5601689.84,54256851.55,2630988.38,1195941.3706818183,1279200.085,1273212.1764583334,1400422.46,1323337.8426829267,1315494.19
42,23382038.6,2116051.31,26848737.2,2268565.4699999997,23658035.05,1292324.7999999998,531409.9681818183,529012.8275,559348.6916666667,567141.3674999999,577025.2451219512,646162.3999999999
43,28963706.32,2573299.67,29593045.17,2460150.28,25649221.14,1326012.83,658266.0527272727,643324.9175,616521.774375,615037.57,625590.7595121951,663006.415
44,12487623.58,1119895.87,14321849.83,1176344.8399999999,13523258.42,664115.3,283809.62681818183,279973.9675,298371.87145833333,294086.20999999996,329835.5712195122,332057.65
45,35296238.15,3240105.2199999997,37582705.75,3552662.13,31153460.39,1570169.78,802187.2306818181,810026.3049999999,782973.0364583334,888165.5325,759840.4973170732,785084.89
5,13431129.2,1404901.57,14980594.29,1490225.71,13468949.34,699888.79,305252.93636363634,351225.3925,312095.714375,372556.4275,328510.95951219514,349944.395
6,70150308.97,6762011.720000001,73710376.33,6818386.619999999,63086366.07,3228680.9299999997,1594325.2038636364,1690502.9300000002,1535632.8402083332,1704596.6549999998,1538691.8553658538,1614340.4649999999
7,22943442.57,2624635.58,27724610.77,2938029.75,24206219.15,1161337.32,521441.8765909091,656158.895,577596.0577083334,734507.4375,590395.5890243902,580668.66
8,39342968.59,3861506.25,43574544.6,3938241.56,37280359.339999996,1953560.79,894158.3770454546,965376.5625,907803.0125000001,984560.39,909277.0570731707,976780.395
9,22863865.7,2265354.06,26237363.91,2448605.74,22798481.17,1175548.4100000001,519633.31136363634,566338.515,546611.748125,612151.435,556060.5163414634,587774.2050000001
