Store,Year,Is_Holiday_Week,Total_Sales,Avg_Weekly_Sales,Median_Weekly_Sales,Min_Weekly_Sales,Max_Weekly_Sales,Weeks,Avg_Temperature,Avg_Fuel_Price,Avg_CPI,Avg_Unemployment,Avg_WoW_Growth
11,2011,Yes,5869714.54,1467428.635,1385660.555,1249439.95,1848953.48,4,62.1025,3.23325,220.09745605,7.378,-0.5700000000000003
11,2012,No,55305193.52,1348907.1590243904,1352442.31,1162675.85,1596325.01,41,73.80414634146341,3.5489756097560976,225.17964959756097,6.5554146341463415,-0.2007317073170731
11,2012,Yes,2878872.16,1439436.08,1439436.08,1304584.4,1574287.76,2,68.7,3.5694999999999997,224.85983465,6.5835,4.6899999999999995
12,2010,No,43856287.18,996733.7995454546,958191.125,850936.26,1768249.89,44,71.52522727272728,3.0624545454545453,126.36330867045454,14.159727272727274,0.5467441860465115
12,2010,Yes,4514096.68,1128524.17,1010491.18,891736.91,1601377.41,4,56.2,3.075,126.5919457,14.19525,3.7574999999999985
12,2011,No,47869169.94,997274.3737499999,987608.7250000001,802105.5,1617612.03,48,68.24895833333333,3.7780833333333335,129.01133895625,13.544333333333334,0.7681249999999998
12,2011,Yes,4712830.63,1178207.6575,1099029.82,922850.57,1591920.42,4,59.2975,3.586,129.28379354999998,13.326,6.077500000000001
12,2012,No,41180368.83,1004399.2397560976,1004252.38,855922.64,1240048.85,41,73.70097560975609,4.0276097560975614,130.82542616829267,11.446414634146342,-0.16682926829268294
12,2012,Yes,2154476.89,1077238.445,1077238.445,955146.04,1199330.85,2,70.395,3.923,130.6587258,11.5565,1.6099999999999994
13,2010,No,87027966.0,1977908.3181818181,1907814.7349999999,1705655.09,3595903.2,44,54.73886363636363,2.8327500000000003,126.36330867045454,8.012613636363637,1.019767441860465
13,2010,Yes,8244769.449999999,2061192.3624999998,1901538.7,1675292.0,2766400.05,4,38.4775,2.80975,126.5919457,7.96425,-3.4499999999999993
13,2011,No,95886925.6,1997644.2833333332,1955221.065,1633663.12,3556766.03,48,50.963750000000005,3.478125,129.01133895625,6.987333333333333,1.1754166666666668
13,2011,Yes,8650587.73,2162646.9325,1956747.9049999998,1872921.31,2864170.61,4,42.86,3.30425,129.28379354999998,6.78275,-0.3775000000000013
13,2012,No,82472374.14,2011521.320487805,2025582.62,1733983.09,2271614.76,41,58.39487804878049,3.587,130.82542616829267,5.913585365853659,-0.0326829268292683
13,2012,Yes,4235080.88,2117540.44,2117540.44,2069284.57,2165796.31,2,52.19,3.4025,130.6587258,5.9345,5.885
14,2010,No,97020829.61,2205018.8547727275,2130029.2,1855703.66,3818686.45,44,59.028636363636366,2.8574318181818184,182.33521520227274,8.823522727272728,1.466279069767442
14,2010,Yes,8441412.77,2110353.1925,1947993.2999999998,1623716.46,2921709.71,4,43.605000000000004,2.9225,182.48380495,8.79575,-10.917499999999999
14,2011,No,97313622.07,2027367.126458333,2000111.085,1613718.38,3369068.99,48,56.59104166666666,3.642375,186.043972625,8.556041666666667,0.929375
14,2011,Yes,8782648.63,2195662.1575,2091573.9649999999,1914148.89,2685351.81,4,47.07,3.4645,186.9469415,8.555,4.5525
14,2012,No,73459629.67999999,1791698.2848780486,1789113.32,1479514.66,2376022.26,41,60.36780487804878,3.7819024390243903,190.9020375195122,8.569146341463414,-0.5234146341463415
14,2012,Yes,3981768.58,1990884.29,1990884.29,1904512.34,2077256.24,2,56.35,3.7755,190.64264020000002,8.553999999999998,14.345
15,2010,No,29035342.92,659894.1572727273,627820.385,548542.47,1368318.17,44,52.89045454545454,2.9967727272727274,132.4051054681818,8.155613636363636,0.797906976744186
15,2010,Yes,2988185.3899999997,747046.3474999999,662206.1499999999,543754.17,1120018.92,4,37.9025,3.07475,132.498757525,8.14575,7.265000000000002
15,2011,No,29422228.15,612963.0864583333,601403.935,479424.2,1182691.87,48,50.61333333333334,3.8167291666666667,135.15260160416668,7.771645833333333,0.9810416666666667
15,2011,Yes,2860396.75,715099.1875,605527.15,582864.35,1066478.1,4,40.4425,3.6502499999999998,135.664377425,7.827249999999999,6.932499999999999
15,2012,No,23612052.67,575903.7236585367,571190.83,454183.42,693780.42,41,54.602926829268284,3.9471463414634145,137.9707604219512,8.086585365853658,-0.25268292682926824
15,2012,Yes,1215478.04,607739.02,607739.02,587259.82,628218.22,2,51.76,3.9509999999999996,137.81980645,8.068,8.085
16,2010,No,22491914.59,511179.8770454545,499664.93,370230.94,1004730.69,44,45.71068181818182,2.7230909090909092,190.076393575,6.919704545454545,1.5516279069767442
16,2010,Yes,2236718.0,559179.5,556417.975,472044.28,651837.77,4,30.3075,2.73075,190.531995625,6.9697499999999994,-0.6425000000000001
16,2011,No,25001654.58,520867.80374999996,505387.58999999997,368600.0,950691.96,48,42.36541666666667,3.4595416666666665,193.51454330416666,6.377229166666667,0.7922916666666667
16,2011,Yes,2419712.91,604928.2275,620241.81,466806.89,712422.4,4,31.8275,3.2865,194.656270875,6.354,3.672500000000001
16,2012,No,21091519.77,514427.31146341463,508520.09,398445.15,641763.53,41,50.29682926829268,3.5829512195121955,197.71121281707318,6.103926829268293,-0.44390243902439025
16,2012,Yes,1010905.5499999999,505452.77499999997,505452.77499999997,473766.97,537138.58,2,41.89,3.3495,197.507277,6.1114999999999995,-1.5550000000000002
17,2010,No,37420768.94,850472.0213636364,833945.46,749549.55,1309226.79,44,47.24136363636364,2.8327500000000003,126.36330867045454,6.70625,0.01116279069767443
17,2010,Yes,3684151.5,921037.875,923700.335,635862.55,1200888.28,4,28.615000000000002,2.80975,126.5919457,6.75375,6.9350000000000005
17,2011,No,42413820.54,883621.26125,877552.265,736335.69,1289156.9,48,44.151250000000005,3.478125,129.01133895625,6.75125,0.9677083333333334
17,2011,Yes,3978019.2199999997,994504.8049999999,987555.82,777207.3,1225700.28,4,33.9175,3.30425,129.28379354999998,6.71125,9.159999999999998
17,2012,No,38149579.64,930477.552195122,930121.14,769522.33,1198104.22,41,51.21317073170732,3.587,130.82542616829267,6.127585365853658,0.19512195121951212
17,2012,Yes,2135798.99,1067899.495,1067899.495,880165.7,1255633.29,2,42.81,3.4025,130.6587258,6.169499999999999,23.385
18,2010,No,51237669.11,1164492.4797727272,1137188.9700000002,948977.5,2027507.15,44,55.23113636363637,2.864090909090909,132.4051054681818,9.295159090909092,0.9830232558139534
18,2010,Yes,4740748.19,1185187.0475,1099540.91,887907.01,1653759.36,4,40.1025,2.93375,132.498757525,9.3015,-3.5875000000000004
18,2011,No,49509403.44,1031445.9049999999,1012262.305,540922.94,1882393.4,48,51.70416666666667,3.6794375,135.15260160416668,8.872229166666667,0.3599999999999999
18,2011,Yes,4708336.67,1177084.1675,1066308.0350000001,951549.61,1624170.99,4,41.685,3.5005,135.664377425,8.74075,22.379999999999995
18,2012,No,42673440.05,1040815.6109756096,1048134.24,825584.22,1200815.3,41,55.811951219512196,3.810317073170731,137.9707604219512,8.298634146341463,0.4395121951219513
18,2012,Yes,2245136.75,1122568.375,1122568.375,1083521.24,1161615.51,2,52.339999999999996,3.788,137.81980645,8.305,3.8200000000000003
19,2010,No,66184010.53,1504182.0575,1453600.3250000002,1318343.58,2678206.42,44,53.315909090909095,2.9967727272727274,132.4051054681818,8.155613636363636,0.9330232558139534
19,2010,Yes,6396518.109999999,1599129.5274999999,1564001.67,1275146.94,1993367.83,4,39.4625,3.07475,132.498757525,8.14575,-1.9375
19,2011,No,68464521.44,1426344.1966666665,1394352.7000000002,1181204.53,2480159.47,48,50.916875000000005,3.8167291666666667,135.15260160416668,7.771645833333333,1.0460416666666668
19,2011,Yes,6377378.74,1594344.685,1498781.9500000002,1405168.06,1974646.78,4,41.1175,3.6502499999999998,135.664377425,7.827249999999999,-0.4425000000000008
19,2012,No,56215862.79,1371118.6046341462,1352809.5,1182198.7,1631737.68,41,55.150000000000006,3.9471463414634145,137.9707604219512,8.086585365853658,-0.07292682926829272
19,2012,Yes,2996570.49,1498285.245,1498285.245,1497073.82,1499496.67,2,52.405,3.9509999999999996,137.81980645,8.068,4.25
2,2010,No,86891766.02,1974812.864090909,1927937.075,1724557.22,3436007.68,44,68.60681818181818,2.696772727272727,210.94844359772725,8.18209090909091,0.8537209302325581
2,2010,Yes,8386098.17,2096524.5425,1988469.165,1750434.55,2658725.29,4,56.965,2.69775,211.13056615,8.18725,-4.145
2,2011,No,90203410.34,1879237.7154166668,1837648.5150000001,1650394.44,3224369.8,48,68.24125,3.4455833333333334,215.21199329375,7.819541666666667,0.7825000000000001
2,2011,Yes,8404471.08,2101117.77,2021134.065,1748000.65,2614202.3,4,53.0225,3.23325,216.349506275,7.6905,1.1274999999999995
2,2012,No,77494595.62,1890112.088292683,1887733.21,1660906.14,2196688.46,41,70.39219512195122,3.5489756097560976,221.30768933658536,6.773829268292683,0.025853658536585312
2,2012,Yes,4002099.75,2001049.875,2001049.875,1898777.07,2103322.68,2,67.315,3.5694999999999997,220.9898354,6.811,3.0999999999999996
20,2010,No,92997646.2,2113582.868181818,2032531.8900000001,1789687.65,3766687.43,44,56.343636363636364,2.8574318181818184,204.5070407409091,7.717477272727273,1.2330232558139533
20,2010,Yes,8735434.52,2183858.63,2062031.345,1799737.79,2811634.04,4,40.6625,2.9225,204.67943915,7.6705,-8.959999999999999
20,2011,No,100625593.41,2096366.529375,2046061.075,1761506.68,3555371.03,48,54.291666666666664,3.642375,208.644071475,7.249333333333333,1.50375
20,2011,Yes,9211408.95,2302852.2375,2130965.35,2043245.0,2906233.25,4,44.2125,3.4645,209.72864859999999,7.19525,-4.7
20,2012,No,85284202.04,2080102.488780488,2060588.69,1761016.51,2565259.92,41,58.417073170731705,3.7819024390243903,214.4696959609756,7.14319512195122,0.04560975609756093
20,2012,Yes,4543507.34,2271753.67,2271753.67,2080529.06,2462978.28,2,54.915,3.7755,214.16878555,7.1205,6.325
21,2010,No,34229199.18,777936.345,746206.87,671688.06,1587257.78,44,69.02136363636363,2.696772727272727,210.94844359772725,8.18209090909091,1.0930232558139534
21,2010,Yes,3401909.09,850477.2725,741688.625,672903.23,1245628.61,4,56.805,2.69775,211.13056615,8.18725,0.26250000000000107
21,2011,No,36785360.02,766361.6670833334,755803.2849999999,596218.24,1384552.17,48,69.03750000000001,3.4455833333333334,215.21199329375,7.819541666666667,0.5287499999999999
21,2011,Yes,3449523.92,862380.98,788135.435,653989.65,1219263.4,4,53.7675,3.23325,216.349506275,7.6905,11.422500000000001
21,2012,No,28838406.63,703375.7714634147,697645.32,611258.71,834663.52,41,71.15268292682926,3.5489756097560976,221.30768933658536,6.773829268292683,-0.13902439024390245
21,2012,Yes,1413480.08,706740.04,706740.04,642827.29,770652.79,2,67.46000000000001,3.5694999999999997,220.9898354,6.811,-1.3199999999999994
22,2010,No,46579770.22,1058631.1413636364,1011200.63,899761.48,1962445.04,44,56.124318181818175,2.864090909090909,136.25909415,8.421931818181818,1.1286046511627905
22,2010,Yes,4285510.19,1071377.5475,973372.825,774262.28,1564502.26,4,42.46,2.93375,136.346838125,8.465,-4.215
22,2011,No,49022552.43,1021303.175625,982400.09,799369.15,1863195.68,48,53.567708333333336,3.6794375,139.06941154583333,8.1120625,1.1189583333333335
22,2011,Yes,4532159.5,1133039.875,1006820.435,982661.14,1535857.49,4,45.1475,3.5005,139.594521325,7.97325,5.470000000000001
22,2012,No,40624579.36,990843.3990243903,991127.01,786459.23,1197489.66,41,57.3209756097561,3.810317073170731,141.96331515609756,7.6333414634146335,0.486829268292683
22,2012,Yes,2031076.87,1015538.435,1015538.435,996628.8,1034448.07,2,54.489999999999995,3.788,141.81014285,7.628,2.71
23,2010,No,61812911.48,1404838.8972727272,1339990.21,1099055.65,2734277.1,44,50.48818181818182,2.864090909090909,132.4051054681818,5.437613636363636,1.2599999999999998
23,2010,Yes,5896193.83,1474048.4575,1326867.465,1169773.85,2072685.05,4,33.99,2.93375,132.498757525,5.448,-1.9575000000000014
23,2011,No,66329911.01,1381873.1460416666,1361232.87,1016756.1,2587953.32,48,47.45541666666667,3.6794375,135.15260160416668,4.721229166666666,1.2349999999999997
23,2011,Yes,5943622.779999999,1485905.6949999998,1336538.15,1213486.95,2057059.53,4,36.2725,3.5005,135.664377425,4.6345,1.1875
23,2012,No,55982372.42,1365423.7175609756,1338627.55,1031451.35,1702220.96,41,51.35121951219512,3.810317073170731,137.9707604219512,4.175829268292683,0.7126829268292681
23,2012,Yes,2785606.33,1392803.165,1392803.165,1358444.07,1427162.26,2,46.67,3.788,137.81980645,4.2085,-0.9399999999999995
24,2010,No,61014165.99,1386685.5906818183,1364163.27,1158722.74,2386015.75,44,55.527272727272724,2.9967727272727274,132.4051054681818,8.221113636363638,0.8427906976744186
24,2010,Yes,5876482.25,1469120.5625,1444302.8450000002,1208600.05,1779276.51,4,40.2175,3.07475,132.498757525,8.24825,-0.07249999999999979
24,2011,No,63945072.23,1332189.0047916665,1311551.94,1107170.39,2168344.23,48,52.540625,3.8167291666666667,135.15260160416668,8.316166666666668,0.3789583333333333
24,2011,Yes,5993904.64,1498476.16,1445714.1749999998,1341240.62,1761235.67,4,42.5275,3.6502499999999998,135.664377425,8.3795,8.952499999999999
24,2012,No,54305800.55,1324531.7207317073,1307182.29,1057290.41,1645097.75,41,56.671463414634154,3.9471463414634145,137.9707604219512,8.85109756097561,-0.24317073170731704
24,2012,Yes,2880595.62,1440297.81,1440297.81,1403460.87,1477134.75,2,53.315,3.9509999999999996,137.81980645,8.806000000000001,11.08
25,2010,No,32158758.62,730880.8777272728,701788.825,607819.33,1295391.19,44,53.05159090909091,2.8574318181818184,204.5070407409091,7.717477272727273,1.2434883720930232
25,2010,Yes,2977509.12,744377.28,639452.245,583364.02,1115240.61,4,37.525,2.9225,204.67943915,7.6705,-3.702499999999999
25,2011,No,33345613.7,694700.2854166667,676266.8899999999,558794.63,1290532.97,48,50.98708333333334,3.642375,208.644071475,7.249333333333333,1.0541666666666665
25,2011,Yes,3088792.02,772198.005,678456.925,615666.78,1116211.39,4,41.150000000000006,3.4645,209.72864859999999,7.19525,-0.34250000000000114
25,2012,No,28160038.43,686830.205609756,685676.58,589554.29,791356.9,41,54.98,3.7819024390243903,214.4696959609756,7.14319512195122,0.2765853658536585
25,2012,Yes,1330467.28,665233.64,665233.64,658984.38,671482.9,2,52.63,3.7755,214.16878555,7.1205,-1.7699999999999998
26,2010,No,44168685.48,1003833.7609090909,1000209.035,855385.01,1573982.47,44,45.005227272727275,2.864090909090909,132.4051054681818,8.39090909090909,0.6525581395348837
26,2010,Yes,4222012.300000001,1055503.0750000002,1028955.1950000001,877268.29,1286833.62,4,29.95,2.93375,132.498757525,8.307749999999999,-0.7299999999999986
26,2011,No,47713675.2,994034.9,983603.915,809833.21,1515175.01,48,41.86291666666667,3.6794375,135.15260160416668,7.774166666666667,0.6477083333333334
26,2011,Yes,4335576.5200000005,1083894.1300000001,1040211.0249999999,972834.42,1282320.05,4,31.4925,3.5005,135.664377425,7.7175,3.3599999999999994
26,2012,No,40813564.62,995452.795609756,986131.94,820059.89,1180470.8,41,46.88390243902439,3.810317073170731,137.9707604219512,7.4237317073170725,-0.10024390243902442
26,2012,Yes,2162879.67,1081439.835,1081439.835,1081005.64,1081874.03,2,42.735,3.788,137.81980645,7.436,8.895
27,2010,No,82285445.29,1870123.7565909093,1867560.165,1313729.72,3078162.08,44,58.76272727272727,2.9967727272727274,136.25909415,8.05565909090909,1.0358139534883721
27,2010,Yes,7727731.28,1931932.82,1829428.7650000001,1440963.0,2627910.75,4,44.1125,3.07475,136.346838125,8.06525,-1.4100000000000001
27,2011,No,84219983.27,1754582.9847916665,1724504.0,1421111.55,2739019.75,48,55.92416666666667,3.8167291666666667,139.06941154583333,7.823708333333333,0.5260416666666666
27,2011,Yes,7702700.92,1925675.23,1781037.7200000002,1636224.77,2504400.71,4,46.7775,3.6502499999999998,139.594521325,7.872249999999999,8.122499999999999
27,2012,No,68427495.54,1668963.3058536586,1650405.21,1263534.86,2062224.92,41,59.7109756097561,3.9471463414634145,141.96331515609756,8.15280487804878,0.11097560975609756
27,2012,Yes,3492560.58,1746280.29,1746280.29,1651605.35,1840955.23,2,56.93,3.9509999999999996,141.81014285,8.124,5.9350000000000005
28,2010,No,58946142.2,1339685.05,1267929.8599999999,1111797.21,2026026.39,44,71.52522727272728,3.0624545454545453,126.36330867045454,14.159727272727274,0.8776744186046513
28,2010,Yes,5832622.73,1458155.6825,1402515.33,1090558.57,1937033.5,4,56.2,3.075,126.5919457,14.19525,-1.727500000000001
28,2011,No,63248845.4,1317684.2791666666,1277458.6,1079669.11,1796203.51,48,68.24895833333333,3.7780833333333335,129.01133895625,13.544333333333334,1.975625
28,2011,Yes,5907163.18,1476790.795,1353694.19,1270036.53,1929738.27,4,59.2975,3.586,129.28379354999998,13.326,0.7349999999999994
28,2012,No,52286246.93,1275274.3153658537,1213860.61,1124660.77,1680764.06,41,73.70097560975609,4.0276097560975614,130.82542616829267,11.446414634146342,0.4763414634146342
28,2012,Yes,3042660.1399999997,1521330.0699999998,1521330.0699999998,1469693.99,1572966.15,2,70.395,3.923,130.6587258,11.5565,11.235
29,2010,No,24484603.24,556468.2554545454,528558.825,463752.89,1130926.79,44,56.124318181818175,2.864090909090909,132.4051054681818,10.31190909090909,1.1546511627906977
29,2010,Yes,2462224.25,615556.0625,510481.66,465992.02,975268.91,4,42.46,2.93375,132.498757525,10.38025,4.067500000000003
29,2011,No,25429642.46,529784.2179166666,505275.24,410426.97,1016637.39,48,53.567708333333336,3.6794375,135.15260160416668,9.865,0.9216666666666665
29,2011,Yes,2520702.74,630175.685,551065.415,505406.72,913165.19,4,45.1475,3.5005,135.664377425,9.70825,11.522499999999999
29,2012,No,21157729.72,516042.18829268287,514709.76,395987.24,633826.55,41,57.3209756097561,3.810317073170731,137.9707604219512,9.178243902439025,0.3104878048780488
29,2012,Yes,1086651.9,543325.95,543325.95,540811.85,545840.05,2,54.489999999999995,3.788,137.81980645,9.2035,4.88
3,2010,No,17024183.47,386913.2606818182,365275.41,339597.38,605990.41,44,70.56477272727273,2.696772727272727,214.60350835227274,7.408068181818181,0.3606976744186046
3,2010,Yes,1721235.53,430308.8825,401703.36,352260.97,565567.84,4,62.67,2.69775,214.78534595,7.4605,0.5550000000000015
3,2011,No,19041523.8,396698.41250000003,385916.695,345381.29,551221.21,48,72.403125,3.4455833333333334,218.93371025833335,7.4804375,0.37250000000000005
3,2011,Yes,1775352.77,443838.1925,420540.04500000004,377347.49,556925.19,4,60.394999999999996,3.23325,220.09745605,7.378,3.165
3,2012,No,17142917.3,418119.93414634146,416913.1,349518.1,503232.13,41,73.31682926829268,3.5489756097560976,225.17964959756097,6.5554146341463415,0.018048780487804863
3,2012,Yes,881522.2,440761.1,440761.1,408229.73,473292.47,2,68.32,3.5694999999999997,224.85983465,6.5835,5.609999999999999
30,2010,No,19926185.76,452867.8581818182,453577.065,407112.22,519354.88,44,69.02136363636363,2.696772727272727,210.94844359772725,8.18209090909091,0.031162790697674456
30,2010,Yes,1812900.87,453225.2175,458947.64,397631.02,497374.57,4,56.805,2.69775,211.13056615,8.18725,-2.1675
30,2011,No,20511387.97,427320.5827083333,427724.65,369722.32,492022.68,48,69.03750000000001,3.4455833333333334,215.21199329375,7.819541666666667,0.5804166666666666
30,2011,Yes,1670760.44,417690.11,414470.69,370897.82,470921.24,4,53.7675,3.23325,216.349506275,7.6905,-5.8950000000000005
30,2012,No,17910718.32,436846.78829268296,436070.45,413617.45,462909.41,41,71.15268292682926,3.5489756097560976,221.30768933658536,6.773829268292683,0.4246341463414634
30,2012,Yes,884931.76,442465.88,442465.88,433565.77,451365.99,2,67.46000000000001,3.5694999999999997,220.9898354,6.811,1.355
31,2010,No,59651218.85,1355709.5193181818,1333847.365,1213981.64,2068942.97,44,69.02136363636363,2.696772727272727,210.94844359772725,8.18209090909091,0.24372093023255814
31,2010,Yes,5909053.91,1477263.4775,1426063.125,1198071.6,1858856.06,4,56.805,2.69775,211.13056615,8.18725,0.05749999999999922
31,2011,No,67963819.33,1415912.9027083332,1408291.15,1254955.68,2026176.14,48,69.03750000000001,3.4455833333333334,215.21199329375,7.819541666666667,0.6685416666666667
31,2011,Yes,6205406.1899999995,1551351.5474999999,1457950.295,1355405.95,1934099.65,4,53.7675,3.23325,216.349506275,7.6905,1.6775000000000002
31,2012,No,56998607.02,1390209.9273170733,1391479.91,1259941.48,1570813.52,41,71.15268292682926,3.5489756097560976,221.30768933658536,6.773829268292683,-0.09609756097560981
31,2012,Yes,2885800.2,1442900.1,1442900.1,1358111.62,1527688.58,2,67.46000000000001,3.5694999999999997,220.9898354,6.811,4.33
32,2010,No,50448635.47,1146559.8970454545,1105879.5550000002,1043962.36,1949183.14,44,54.28636363636363,2.7230909090909092,190.076393575,9.033295454545454,0.8860465116279068
32,2010,Yes,4742301.21,1185575.3025,1076100.7550000001,955463.84,1634635.86,4,38.55,2.73075,190.531995625,9.07625,-2.9399999999999995
32,2011,No,56307762.67,1173078.3889583333,1157993.51,1006814.85,1959526.96,48,50.44645833333333,3.4595416666666665,193.51454330416666,8.634625,1.0116666666666667
32,2011,Yes,5039430.81,1259857.7025,1126297.25,1102367.65,1684468.66,4,38.24,3.2865,194.656270875,8.6165,0.4449999999999985
32,2012,No,48025007.19,1171341.6387804877,1171834.47,1051864.6,1272809.11,41,56.82463414634146,3.5829512195121955,197.71121281707318,8.022780487804878,0.5519512195121951
32,2012,Yes,2256108.81,1128054.405,1128054.405,1126685.95,1129422.86,2,47.95,3.3495,197.507277,8.064,-3.605
33,2010,No,11739267.13,266801.5256818182,265925.85,209986.25,331173.51,44,77.58749999999999,3.040068181818182,126.36330867045454,9.6355,-0.39046511627906977
33,2010,Yes,1027567.13,256891.7825,256439.725,219804.85,294882.83,4,64.255,3.02475,126.5919457,9.535,4.34
33,2011,No,11928439.97,248509.16604166667,244402.63,220060.35,279466.87,48,75.774375,3.7447916666666665,129.01133895625,8.526,-0.026874999999999965
33,2011,Yes,1029396.7,257349.175,266097.605,215359.21,281842.28,4,65.88,3.585,129.28379354999998,8.35325,5.4175
33,2012,No,10866569.67,265038.2846341463,261837.2,236920.49,312698.67,41,79.23439024390244,3.9892439024390245,130.82542616829267,7.334829268292683,0.12219512195121947
33,2012,Yes,568981.3600000001,284490.68000000005,284490.68000000005,282552.58,286428.78,2,75.97999999999999,3.923,130.6587258,7.375,15.559999999999999
34,2010,No,42011978.47,954817.6925,932817.5549999999,855421.39,1620748.25,44,59.34022727272727,2.7062954545454545,126.36330867045454,9.810636363636364,0.8134883720930234
34,2010,Yes,4138438.32,1034609.58,963425.975,902109.69,1309476.68,4,45.995,2.7135,126.5919457,9.939250000000001,-1.6625000000000014
34,2011,No,46102913.14,960477.3570833333,944485.25,836717.75,1593655.96,48,57.56833333333333,3.4391041666666666,129.01133895625,10.456083333333334,0.749375
34,2011,Yes,4257268.92,1064317.23,990583.48,930506.14,1345595.82,4,43.385,3.2327500000000002,129.28379354999998,10.33375,1.8824999999999985
34,2012,No,39715090.5,968660.743902439,956987.81,872450.37,1123446.51,41,61.4190243902439,3.53580487804878,130.82542616829267,9.441146341463414,-0.2514634146341463
34,2012,Yes,2024073.65,1012036.825,1012036.825,976415.56,1047658.09,2,57.480000000000004,3.56,130.6587258,9.469000000000001,8.065
35,2010,No,47707270.61,1084256.1502272727,1109703.835,758069.78,1779236.54,44,58.76272727272727,2.8574318181818184,136.25909415,8.954204545454546,-0.003953488372093063
35,2010,Yes,4488700.32,1122175.08,1065250.645,576332.05,1781866.98,4,44.1125,2.9225,136.346838125,8.91225,9.787499999999998
35,2011,No,39666806.87,826391.8097916666,820050.155,633289.78,1550214.02,48,55.92416666666667,3.642375,139.06941154583333,8.620458333333334,0.8239583333333332
35,2011,Yes,4420171.76,1105042.94,913545.595,859258.17,1733822.4,4,46.7775,3.4645,139.594521325,8.68075,24.47
35,2012,No,33403110.03,814710.0007317073,821568.64,588722.99,985479.64,41,59.7109756097561,3.7819024390243903,141.96331515609756,8.805951219512195,-0.14341463414634134
35,2012,Yes,1834612.49,917306.245,917306.245,849779.14,984833.35,2,56.93,3.7755,141.81014285,8.7915,9.76
36,2010,No,19480888.47,442747.4652272727,442892.905,360266.09,489372.02,44,70.7525,2.656681818181818,210.0568942931818,8.453227272727274,-0.07116279069767445
36,2010,Yes,1672237.22,418059.305,421681.435,359310.65,469563.7,4,61.825,2.6814999999999998,210.239702725,8.4665,-3.59
36,2011,No,17597920.14,366623.33625,373485.765,293350.51,431412.22,48,71.15979166666666,3.427520833333333,214.30266593333332,8.154625000000001,0.0816666666666667
36,2011,Yes,1374698.6099999999,343674.65249999997,342886.095,287425.22,401501.2,4,58.442499999999995,3.20525,215.43138415,8.001,-3.6825
36,2012,No,12657000.06,308707.3185365854,306578.89,270677.98,339407.94,41,73.8390243902439,3.562926829268293,220.35287881219514,6.882268292682927,-0.25195121951219507
36,2012,Yes,629470.47,314735.235,314735.235,293728.57,335741.9,2,69.34,3.5795000000000003,220.0366072,6.9335,5.9399999999999995
37,2010,No,22489768.67,511131.1061363637,510851.11,460020.74,576809.92,44,70.7525,2.696772727272727,210.0568942931818,8.453227272727274,0.2974418604651163
